id,fen,sol,turn,rating,n_moves
Y5hAx,8/2p1bnk1/2P2p2/3Pp1p1/4P3/4N1P1/r1r1RBK1/4R3 b - - 1 45,c2e2 e1e2 a2e2,b,861,3
iu4tt,8/3R2R1/p3rp1k/1p3rp1/2P4p/1P1K3P/P5P1/8 w - - 2 46,g7h7 h6g6 d7g7,w,861,3
jNIEi,5b2/1R1Rrpk1/6p1/5p1p/p4P1P/6P1/8/1K6 w - - 10 51,d7e7 f8e7 b7e7,w,861,3
tQQKS,8/1R2Rpk1/4pq1p/8/1p2pp2/P6P/5PP1/6K1 w - - 0 32,e7f7 f6f7 b7f7,w,861,3
tWqKv,4r1k1/2RR2pp/p3rpn1/1p6/4P3/P3K1P1/1P3P1P/8 w - - 2 27,d7g7 g8h8 g7h7,w,861,3
zXB3y,8/RR5p/4p1pk/4rp2/2P5/3n2KP/8/8 w - - 0 44,b7h7 h6g5 h3h4 g5f6 a7f7,w,861,5
LgV0d,8/6k1/3P1p1p/2Q3p1/p1P5/6P1/r2r1PKP/8 b - - 0 40,d2f2 c5f2 a2f2,b,862,3
nSBda,7r/RR3p2/4pk1p/5pnB/P1r2P1K/6P1/7P/8 w - - 1 37,b7f7 g5f7 a7f7,w,862,3
skFCZ,8/8/8/5p2/R6Q/4P3/p1r2rPK/5k2 b - - 5 45,f2g2 h2h3 g2h2,b,862,3
6wrp8,6k1/1p3p1p/p4b2/3P2pN/3p4/1P3P2/Prr3PP/R3R1K1 b - - 1 24,c2g2 g1h1 g2h2,b,863,3
J6oxl,1k2r3/1bp1nR1R/1p2P3/pP1p4/P7/2b3PB/6P1/5K2 w - - 1 41,f7e7 e8e7 h7e7,w,863,3
LjGQs,1r6/pkp1R1R1/1p1p4/nP2p3/4P3/2PKBr1p/P7/8 w - - 2 39,e7c7 b7a8 c7a7,w,863,3
RJGBp,6k1/5p2/2N3pp/8/1P6/5nBP/3rr3/R4R1K b - - 4 39,e2h2 g3h2 d2h2,b,863,3
6IqO7,6k1/1p3p1p/p1pq2p1/3p1P2/1P1P4/P2Q1RPP/1r2rRPK/8 b - - 2 33,e2f2 f3f2 b2f2,b,865,3
HhSmy,8/RR3p1k/4p3/8/1P5p/2Q5/4K2n/5rq1 w - - 3 47,b7f7 f1f7 a7f7,w,865,3
yopq4,8/3R4/3N4/kpp5/8/8/P1r3r1/5R1K b - - 3 45,g2h2 h1g1 c2g2,b,866,3
BK0UW,8/2R2Rpk/pp2p1qp/8/1P1p4/P5P1/5P1P/5K2 w - - 2 35,f7g7 g6g7 c7g7,w,867,3
XS3BH,7k/1b5p/p2pq1p1/1p2p1Q1/1P2P3/P4P2/1rr3BP/RN1R3K b - - 0 31,c2g2 g5g2 b2g2,b,867,3
mx0CB,3rq1k1/1RRr1ppp/8/8/8/4PQP1/5PK1/8 w - - 7 43,c7d7 d8d7 b7d7,w,867,3
3Pc6N,8/R6P/3k2B1/1p6/2nP4/1KP5/1P1r1r2/1R6 b - - 0 38,d2b2 b1b2 f2b2,b,868,3
EztlW,6rk/1R2R2p/pb5r/4P3/8/2P2np1/PPB5/5K2 w - - 0 40,e7h7 h6h7 b7h7,w,869,3
Segf8,6k1/1R3p1p/6p1/8/8/6P1/r1r1PPBP/3RK3 b - - 0 26,c2e2 e1f1 e2f2 f1g1 f2g2,b,869,5
F9F11,6k1/6p1/7p/8/3R4/5P2/Prr3PP/3R1K2 b - - 0 33,c2f2 f1g1 f2g2 g1h1 g2h2,b,870,5
SNObG,6rk/4RR1p/2p2n2/q2p4/3P4/r2B1P1P/2P2P2/2K5 w - - 4 25,f7h7 f6h7 e7h7,w,870,3
Y5dfw,8/5RR1/1p3p1k/5r2/r7/6K1/5PP1/8 w - - 3 36,g7h7 h6g5 f7g7,w,870,3
igNFS,8/7p/6p1/6Q1/p1p5/P6k/2r2r2/3R2K1 b - - 11 49,f2g2 g5g2 c2g2,b,871,3
r76II,8/8/3P3k/5Q1p/6pK/6P1/P1r1r2P/7R b - - 1 37,e2h2 h1h2 c2h2,b,871,3
a2AQw,7r/R2R4/1p1npr1k/2b3p1/P7/2PB4/2P2P2/6K1 w - - 2 32,d7h7 h8h7 a7h7,w,873,3
mErYi,8/R5bk/8/1P1pP3/3P3P/1KP5/P4rr1/2R5 b - - 0 45,f2b2 b3a4 b2a2,b,873,3
77bHt,8/3R2R1/1p3p2/5p1k/1r2pP2/2r3P1/4K3/8 w - - 2 40,g7h7 h5g4 d7g7,w,874,3
06GcP,8/5k2/p2P3p/2P5/8/3P2QP/r4rPK/8 b - - 0 33,f2g2 g3g2 a2g2,b,877,3
c5ulG,8/1R5p/6pk/1p3p2/5P1K/P5P1/1r1r3P/7R b - - 3 37,d2h2 h1h2 b2h2,b,877,3
khfl6,4n3/4p1k1/p7/2pQP1p1/P5P1/2PPK1R1/5r1r/8 b - - 0 44,f2e2 e3f3 h2f2,b,877,3
JdgBR,4k3/pR6/2p1p3/3nP3/P2P4/8/1KPB1r1r/3R4 b - - 0 32,f2d2 d1d2 h2d2,b,878,3
NZGzX,7k/2p1p1bP/p7/1p6/N1P1B1b1/P3Q3/1P1r1rP1/RKR5 b - - 1 27,d2b2 a4b2 f2b2,b,878,3
RN4BF,8/pR1R1pk1/1p2p3/4rp2/P7/7r/5P1P/5K2 w - - 0 33,d7f7 g7h6 f7h7,w,878,3
RNgbG,2kr4/ppp1RRpp/7r/8/8/2KP4/PP6/8 w - - 6 26,e7c7 c8b8 c7b7 b8a8 b7a7,w,878,5
SS2Is,7r/R3R2p/2pr2p1/1p3p1k/p4P2/2P4P/1P2K1P1/8 w - - 3 46,e7h7 h8h7 a7h7,w,878,3
wWE2J,4r1k1/p1R2Rpp/2pp4/2p3PK/2P1n2P/8/8/6r1 w - - 0 34,f7g7 g8h8 g7h7,w,879,3
Dlha9,5r1k/p1R3R1/5p2/4p3/3PPq2/1r3P2/P4P1P/7K w - - 2 30,g7h7 h8g8 c7g7,w,880,3
LOiOQ,4rk2/p1RR1ppp/8/8/5PK1/6P1/r2p3P/8 w - - 0 30,d7f7 f8g8 f7g7 g8h8 g7h7,w,880,5
449Xl,8/5R2/6pk/2NpQb1p/2pP4/2P2P1P/r2q2r1/5R1K b - - 0 39,g2h2 e5h2 d2h2,b,881,3
D5xbe,8/1R1R3p/1p1p1r1k/1P3pp1/2b1p2P/4P1P1/5PK1/r7 w - - 0 35,d7h7 h6g6 b7g7,w,882,3
DAfSI,7k/6pp/p7/7N/P3p3/8/1r3rPN/R3R1K1 b - - 0 31,f2g2 g1h1 g2h2,b,884,3
JVRSR,8/R1R2pk1/4p3/5p2/2pP1P2/2P1K1p1/1P4r1/7r w - - 0 39,c7f7 g7g6 f7g7,w,885,3
