id,fen,sol,turn,rating,n_moves
eIp2U,4k3/pp2pp2/1q6/3P4/3Np1B1/PQ6/KPr2r2/R5R1 b - - 1 30,c2b2 b3b2 f2b2,b,982,3
xTtw0,8/pR5R/k1pp3p/2q5/5P2/1P4KP/8/8 w - - 3 40,b7a7 c5a7 h7a7,w,982,3
9ARF4,6rk/4RR2/2q2N1p/p7/3p1P2/P6P/1pb3PK/8 w - - 0 50,f7h7 c2h7 e7h7,w,983,3
I7bze,8/R5R1/p2r1r1k/5p2/KP3Pp1/4p3/8/8 w - - 1 57,g7h7 h6g6 a7g7,w,983,3
kDXMX,6k1/8/2qpp3/4N3/4P3/p1P1Q3/1r3rP1/2R1R1K1 b - - 0 32,f2g2 g1h1 g2h2,b,983,3
bFaMq,6k1/5pp1/2R4p/8/P7/7P/1PPr1rP1/2R3K1 b - a3 0 24,f2g2 g1h1 g2h2,b,984,3
vZgyp,r7/p2R1R2/1p3p2/kP3Pp1/P1p5/2P5/1KP4r/4n3 w - - 1 34,d7a7 a8a7 f7a7,w,984,3
KqIUF,r5k1/1RRr1pp1/p3pn1p/1p6/1P6/P5N1/5PPK/8 w - - 14 37,c7d7 f6d7 b7d7,w,985,3
kyNtm,8/R7/5k2/6p1/P4p2/5P2/2Prr1PP/2R3K1 b - - 0 29,e2g2 g1h1 g2h2,b,985,3
B5uyB,3r1k2/1RR3pp/8/1p2P3/1P2nP2/3p2P1/r6P/6K1 w - - 0 29,c7f7 f8g8 f7g7 g8h8 g7h7,w,986,5
HpnU1,7r/pppR1R1p/1bn3pk/6N1/6bP/8/PP5K/8 w - - 0 27,f7h7 h8h7 d7h7,w,986,3
aVboA,8/2R2Rp1/4p1kp/3p4/3P2P1/2P1K2n/1r2NP2/4r3 w - - 1 38,f7g7 g6f6 c7f7,w,986,3
gM8nz,5N1r/pR3R2/6pk/4P3/2p2P2/P1P5/2K5/7q w - - 0 39,f7h7 h8h7 b7h7,w,986,3
05npM,6k1/7p/1p1R4/8/8/1P1p2P1/P1r2r1P/3R2K1 b - - 2 32,f2g2 g1h1 g2h2,b,987,3
hKRMF,6k1/5p1p/pR2p2P/3pP1p1/3B4/2P2PKN/r1r3P1/5bR1 b - - 0 35,c2g2 g1g2 a2g2,b,987,3
75LTq,2r3k1/pppRR1pp/8/8/8/8/2r2PKP/8 w - - 2 27,e7g7 g8h8 g7h7,w,988,3
G93Dh,4rk2/R2R3p/1p6/3n1p1P/5r2/6p1/PKP5/8 w - - 0 32,d7f7 f8g8 f7g7 g8h8 g7h7,w,988,5
I2qZh,r5k1/2R1Rr1p/p2p1pp1/8/5P2/6QK/q6P/8 w - - 6 33,e7f7 a2f7 c7f7,w,988,3
LgSAa,8/6pk/2Q4p/1p1R4/8/qP2P3/2P2r1r/1K2R3 b - - 0 35,f2c2 c6c2 h2c2,b,988,3
Xr5PN,r2r2k1/2R1R2p/p2P1pp1/1n2p3/6K1/B7/P4P2/8 w - - 2 43,e7g7 g8h8 g7h7,w,988,3
E0Syf,4r1k1/R1R5/6p1/4p3/3n1B2/1P5P/P1p3K1/3r4 w - - 0 47,c7g7 g8h8 g7h7,w,990,3
ZlGgP,r7/pR4R1/8/6p1/2p3Pk/P1rb3P/5P1K/8 w - - 0 43,g7h7 d3h7 b7h7,w,990,3
o1aar,8/1p1k3p/p1p1R3/5N2/P2N4/1P6/3r2r1/5R1K b - - 3 33,g2h2 h1g1 d2g2,b,990,3
1Lpp7,4N3/RR3p1k/1p2pP2/3p3p/3P3K/6P1/6qP/4b3 w - - 20 47,b7f7 h7g6 f7g7 g6h6 g7h7,w,991,5
FyGpC,r4r2/p2RR1pk/2p4p/1p5q/8/1B3p1P/PP4P1/7K w - - 0 31,e7g7 h7h8 g7h7,w,992,3
bykcF,8/4RRpk/7p/ppp5/8/P7/1P2KPqP/8 w - - 6 37,f7g7 g2g7 e7g7,w,992,3
G4efI,1r3k2/R1R2ppp/4p3/4P3/8/1p2P3/5KPP/3r4 w - - 0 30,c7f7 f8g8 f7g7 g8h8 g7h7,w,993,5
d83iF,2r3nk/R3R3/1p3N2/2p2bp1/2n5/5P2/6PP/6K1 w - - 2 36,e7h7 f5h7 a7h7,w,994,3
HPMcc,8/RR6/4p1k1/1P2Kp2/3P2p1/4P3/3rr3/8 w - - 2 40,b7g7 g6h5 g7h7 h5g5 a7g7,w,995,5
Xyose,5r1k/1pR1R2p/p2p1N2/5n2/5p1r/1P2pK2/P5P1/8 w - - 2 35,e7h7 h4h7 c7h7,w,996,3
pEsBb,4k3/ppq1pR2/1np3QN/2p5/2P1P3/1P6/P1rr2PP/1R4K1 b - - 0 24,d2g2 g6g2 c2g2,b,996,3
3qo1R,1kb5/p6R/2p4p/Np6/4P1P1/2P4P/PP3r1r/2KR4 b - - 1 31,f2c2 c1b1 c2b2 b1a1 b2a2,b,997,5
A8zHS,2r2r1k/pR4R1/3p4/2pPp3/2PbP3/7P/P4P2/7K w - - 5 39,g7h7 h8g8 b7g7,w,997,3
EMt7s,r4b1k/p1RRr1pp/8/8/5PQ1/4q2P/2P3PK/8 w - - 2 27,d7e7 e3e7 c7e7,w,997,3
Xb0Yq,6k1/p4p1b/5B1R/8/7P/1P2P1P1/P1r1r3/5RK1 b - - 4 30,e2g2 g1h1 g2h2 h1g1 c2g2,b,997,5
4BDrD,8/1R1R2pk/P7/7p/7r/3K4/5r2/8 w - - 0 47,d7g7 h7h6 g7h7,w,999,3
OpIMM,6k1/4P1p1/pR4p1/2p3B1/2Ppb3/7P/P3rrPK/6R1 b - - 0 38,f2g2 g1g2 e2g2,b,999,3
RBrjB,4b1k1/4p2p/p2pP1pB/1p1P4/1P6/PR4QP/2r2rPK/1R3q2 b - - 6 29,f2g2 g3g2 c2g2,b,999,3
WcUNJ,8/8/1kp5/8/1P6/7P/1r1r4/2Q3K1 b - - 1 49,d2g2 g1h1 g2h2,b,999,3
b7RIv,8/4p3/2R1Bk2/3P3p/5PpK/2b3P1/2r1r2P/7R b - - 1 40,e2h2 h1h2 c2h2,b,999,3
8yNMx,6k1/7p/R7/1Pp2p2/8/2PP1KP1/1r2r2P/3R4 b - - 0 30,e2f2 f3e3 b2e2,b,1000,3
NOcCn,6k1/R5p1/8/8/8/8/P1r3r1/5R1K b - - 3 32,g2h2 h1g1 c2g2,b,1000,3
KzoR1,1r6/3R2R1/p1r2p1k/8/2p1Pn1P/1P6/2P3P1/6K1 w - - 0 37,g7h7 h6g6 d7g7,w,1002,3
0NPe6,2kr4/pp2R1R1/1np5/3p3p/3P4/1PP4r/P7/1K6 w - - 2 30,e7c7 c8b8 c7b7 b8a8 b7a7,w,1004,5
N7qsV,8/pp6/4pk2/3b4/3N1P2/P7/2P2Rrr/2K2R2 b - - 4 35,g2f2 f1f2 h2f2,b,1004,3
71fdR,4r1k1/R2R3p/5p2/1pp3pP/7r/8/2P3K1/8 w - - 1 38,d7g7 g8h8 g7h7,w,1005,3
87THw,8/8/3P2p1/6k1/4P3/1P6/4rr2/1K5Q b - - 4 36,e2b2 b1a1 b2a2,b,1005,3
9Sq3p,r4k2/2RR2pp/6p1/8/8/p6P/5PPK/4r3 w - - 4 32,d7f7 f8g8 f7g7 g8h8 g7h7,w,1005,5
9hDLo,8/6R1/3p4/2p4p/2P4k/K1PP1PR1/1r2r1PP/8 b - - 12 41,b2a2 a3b3 e2b2,b,1005,3
LYwP6,5rk1/p1RRrpp1/5b1p/5P2/2Q5/1P4P1/5PKP/q7 w - - 6 28,d7e7 f6e7 c7e7,w,1005,3
Xzwff,6k1/ppp3pp/3b4/1P3p2/P2P4/3P1N1N/3rr3/4R1RK b - - 3 34,e2h2 f3h2 d2h2,b,1005,3
e6ANn,8/7p/8/R7/P6k/2P5/1P1r1r1P/1R4K1 b - - 0 38,f2g2 g1h1 g2h2,b,1005,3
teZPq,2r3rk/1R4R1/2p3Bp/1p1p2n1/p7/P1P5/1P5P/6K1 w - - 1 39,g7h7 g5h7 b7h7,w,1005,3
3ar0P,5bk1/pp4q1/8/3pP1P1/Pn1P4/1PB2Q2/r1r3B1/1R3RK1 b - - 3 38,c2g2 f3g2 a2g2,b,1006,3
9ltrD,6k1/1p5p/1p3pPK/2p5/6P1/2P5/PP1r2r1/R6R b - - 0 28,g2h2 h1h2 d2h2,b,1006,3
jSY1H,8/3R4/p3p1kp/1p3pp1/1P6/P5N1/r1r2PPP/4RK2 b - - 3 36,c2f2 f1g1 f2g2 g1h1 g2h2,b,1006,5
kBvJ6,8/4p3/3p4/4k1P1/1P5P/8/rr6/2Q3K1 b - - 8 35,b2g2 g1h1 g2h2,b,1006,3
VlwqR,7r/R1R3p1/1p1kp1p1/1r3p2/3Pp3/4P2P/4KPP1/8 w - - 1 27,c7d7 d6c6 a7c7,w,1007,3
jfsym,8/1N2R3/1kp4p/8/p7/8/PP1r1r2/2K1R3 b - - 2 33,d2c2 c1b1 c2b2,b,1007,3
4IPE5,3r2k1/1RR2ppp/2p5/1p6/8/1P4P1/2r2P1P/6K1 w - - 2 29,c7f7 g8h8 f7g7,w,1008,3
O7dd6,4r1rk/1pRR3p/p4p2/8/P3Qp2/1P6/4KPP1/7q w - - 4 33,d7h7 h1h7 c7h7,w,1009,3
l8Ygy,6k1/7p/6p1/2R1B3/P1P3P1/5n1P/3r1r2/1R5K b - - 2 40,f2h2 e5h2 d2h2,b,1009,3
4e6iw,knr5/p1r1R1R1/1p2p3/3p1q2/4nP2/PQ1NP3/1P6/K7 w - - 5 39,e7c7 c8c7 g7c7,w,1010,3
9H0gK,4r3/1R1Rb1pp/4ppk1/p3r3/8/2N5/PP3PPP/1K6 w - - 2 25,d7e7 e5e1 b1c2 e8e7 b7e7,w,1010,5
btUXB,5r2/2RR1pkp/p5p1/3B1nP1/1p6/r3PK2/8/8 w - - 1 33,d7f7 f8f7 c7f7,w,1010,3
HqhDJ,8/8/8/5kp1/1P6/7P/rr6/2Q2K2 b - - 7 44,b2f2 f1g1 f2g2 g1h1 g2h2,b,1011,5
PmZ76,3r2k1/1p2RR2/6P1/P6K/2p5/6r1/8/8 w - - 2 43,f7g7 g8h8 g7h7,w,1011,3
AWWI4,8/p2p2RR/2p1kp2/2b1pN2/4P3/2P2K2/1q6/8 w - - 0 32,g7e7 c5e7 h7e7,w,1012,3
O4s5e,3r1r1k/p2R2R1/1p2p3/2b1P3/P4P2/4p3/1PP1K3/8 w - - 3 27,g7h7 h8g8 d7g7,w,1012,3
Pcfzd,2k2rbr/1pp1R1R1/p6p/3P1n2/2P2B2/5P2/PP3K2/8 w - - 4 33,e7c7 c8d8 g7d7,w,1012,3
JWHCb,1k1rr3/bpR4R/p7/P5p1/1n2P3/5P2/4K2P/8 w - - 2 32,c7b7 b8a8 b7a7,w,1013,3
m5kdw,6k1/6p1/2p1n1p1/1p2P3/1PpP4/2P4P/r1r1RRP1/4B1K1 b - - 12 45,c2e2 f2e2 a2e2,b,1013,3
o1akx,5r2/R1R2p1p/4p1p1/2p2k2/5P2/p1r2P1P/6K1/8 w - - 1 37,c7f7 f8f7 a7f7,w,1013,3
t9fTD,3r3k/1RR5/7q/5B1p/8/p5PK/7P/8 w - - 0 45,c7h7 h6h7 b7h7,w,1013,3
vhIUg,1r3r1k/1pRR1nqp/p4p2/5P2/4P1Pp/PQ6/1P6/1K6 w - - 1 33,d7f7 f8f7 c7f7,w,1013,3
HGNxi,7r/pR2R1p1/k1p5/2p5/2r5/8/P4PP1/6K1 w - - 0 30,b7a7 a6b6 e7b7,w,1014,3
JTU6a,3r3r/R1R1bkpQ/Bp2bq2/5p2/3pp3/1N4P1/P4PP1/6K1 w - - 1 33,c7e7 f6e7 a7e7,w,1014,3
lML6n,8/p1R4R/kp2p3/3pP3/8/PKBq1r2/8/8 w - - 2 37,c7a7 a6b5 a3a4 b5c6 a7c7,w,1014,5
0pEev,8/7p/7R/6p1/5p2/5PkP/r3rNP1/5RK1 b - - 5 37,e2f2 f1f2 a2f2,b,1015,3
9t0F0,3bk3/1R6/2R2p2/3p4/3P4/3KP3/2N3rr/8 b - - 0 46,g2d2 d3c3 d2c2,b,1016,3
450WC,6k1/1pN3b1/1B2p1p1/4p1P1/2P1P3/1P1n1P2/r2r4/1R3KNR b - - 2 26,d2f2 b6f2 a2f2,b,1017,3
G9jJu,6k1/q5pp/p2p4/3Pp3/NpP1Pp2/1P3P2/P1K1QPrr/3R1R2 b - - 3 35,g2f2 f1f2 h2f2 d1d2 f2e2,b,1017,5
3G2BV,2R2bk1/4P2p/6p1/p7/p2qP1P1/P2P2P1/1r3rBK/2Q2R2 b - - 0 25,f2g2 h2h3 g2h2,b,1019,3
bwJrn,r4bkr/1R1R4/p3Np2/1p2n1pp/1Pp3P1/P7/2P3P1/6K1 w - - 4 34,d7g7 f8g7 b7g7,w,1019,3
jzQFB,6k1/p4ppp/8/2N1P3/1B6/P3PN2/1rq3rP/R3Q2K b - - 1 25,g2h2 f3h2 c2h2,b,1019,3
A1p6d,8/5pp1/N2kp3/3p3R/3P1b2/P1B5/1P3rr1/6RK b - - 3 38,g2h2 h5h2 f2h2,b,1021,3
ZGYj7,r5k1/pRR4p/5p2/8/7P/r7/5P2/6K1 w - - 0 28,c7g7 g8h8 g7h7,w,1021,3
RrQEq,1n1r1bkr/Q3RR1p/1p1q4/1P6/3P4/3P3P/P4PP1/6K1 w - - 3 24,f7g7 f8g7 e7g7 g8f8 a7f7,w,1022,5
azmh4,6k1/5p2/4p1p1/4P1Pp/1P4bP/2P1K1P1/rr1BNR2/8 b - - 2 48,b2d2 e2c1 d2f2,b,1022,3
DQpOI,8/4k3/2p2p2/p1N1PP1p/R5p1/1P6/Pr1r2PP/2R2K2 b - - 0 37,d2f2 f1g1 f2g2,b,1023,3
7XzSG,6rk/pR4R1/1b3pBr/7p/8/7P/P7/7K w - - 1 44,g7h7 h6h7 b7h7,w,1024,3
7cdrj,6k1/ppb2pp1/7p/P2R4/7B/1P3N1P/2r3r1/6RK b - - 2 29,g2h2 f3h2 c2h2,b,1024,3
9tpMb,8/pp1bn1RR/2n1kr2/2B5/2p1P3/2P2p2/P1P5/2K5 w - - 0 31,g7e7 c6e7 h7e7,w,1024,3
vbSdS,8/1kp5/1p3Ppp/p7/P3P3/2P2nBP/2rr4/1R3R1K b - - 2 32,d2h2 g3h2 c2h2,b,1024,3
8HSiU,6k1/5ppp/2pb4/3p4/1P1P2P1/1KPQ1R1P/2R1r1rq/5N2 b - - 12 39,e2c2 d3c2 g2c2 f1h2 c2h2,b,1025,5
dTCgu,6k1/p4ppp/4p3/3p4/6P1/P2NP3/1Rr1r1P1/5R1K b - - 0 31,c2b2 d3b2 e2b2,b,1025,3
mYzPc,r4r1k/pp1RR3/2p2Np1/6b1/8/1B5q/PPP1KP2/8 w - - 0 26,e7h7 h3h7 d7h7,w,1025,3
LijMe,6k1/p5p1/4P2p/8/3P4/P3pRP1/1rr4P/4R1K1 b - - 3 33,c2g2 g1h1 g2h2,b,1026,3
Mg3SA,8/2p5/QpB1p3/3p4/Pk1Pp3/b7/KP2rr1P/RR6 b - - 4 32,e2b2 b1b2 f2b2,b,1026,3
PkvTD,r4k1r/pR1R4/6p1/2P2p2/4pK2/N4n1p/PP6/8 w - - 0 31,d7f7 f8g8 f7g7,w,1026,3
pos1z,2kr3r/ppp1RR1p/8/5p2/5Pqp/1B4P1/P5K1/8 w - - 0 29,e7c7 c8b8 c7b7 b8a8 b7a7,w,1026,5
vpVXh,7k/p2Q2p1/5p1p/8/3b1BP1/3P3P/Pqr1r3/1R3R1K b - - 1 26,e2h2 f4h2 c2h2,b,1026,3
B2rHb,4r1rk/1pRR3p/p4N2/6n1/8/7P/PP2p3/7K w - - 0 31,d7h7 g5h7 c7h7,w,1027,3
OgLEh,3R1bk1/5q1p/8/4Qp2/3B4/5P2/rr4PP/5RK1 b - - 3 31,b2g2 g1h1 g2h2 e5h2 a2h2,b,1027,5
VIK2E,r4r1k/p3R1R1/1p3N1p/2p3p1/2P5/1P1b2P1/P6P/6K1 w - - 1 28,g7h7 d3h7 e7h7,w,1027,3
fGAHk,2r2r1k/3R2R1/6p1/3q4/8/6PP/2p2P1K/8 w - - 3 37,g7h7 h8g8 d7g7,w,1027,3
6ajSp,1r6/1P2RRpk/2q4p/8/8/6P1/5P1K/8 w - - 1 42,f7g7 h7h8 g7h7,w,1028,3
tOpS2,5r1k/ppp2RR1/7p/8/8/8/P4PK1/2r5 w - - 7 32,g7h7 h8g8 f7g7,w,1029,3
wfqRe,r3r1k1/R2R4/6p1/5p1p/2P1p2n/8/P4P2/5B1K w - - 1 36,d7g7 g8h8 g7h7,w,1029,3
0x8fR,6k1/5pp1/7p/8/PP2Pb2/R4N1P/2rr4/4Q1RK b - - 0 31,d2h2 f3h2 c2h2,b,1030,3
XzZUc,8/8/8/3R1Q2/2k5/7p/2r3r1/5R1K b - - 2 52,g2h2 h1g1 c2g2,b,1030,3
HaW0f,2b3Br/1pR1R2p/1p4pk/2r5/3p3P/6P1/P4P2/6K1 w - - 2 28,e7h7 h8h7 c7h7,w,1031,3
Ki2z9,8/6k1/5p1p/1p2p2P/1P4P1/P4R1K/3r2r1/5R2 b - - 3 43,g2h2 h3g3 d2g2,b,1031,3
2lJLo,rk5r/2R1Rp1p/3p2p1/4b1B1/6q1/8/PP3PPP/6K1 w - - 1 25,c7b7 b8c8 e7c7,w,1033,3
uisA6,8/7k/p7/5P2/1P2b3/P3R2P/r2r2PK/6R1 b - - 0 35,d2g2 g1g2 a2g2,b,1033,3
25Wj2,r5k1/1RRb1p1p/3r2p1/4p3/2B1P3/p5P1/5P1P/6K1 w - - 0 32,c7d7 d6d7 b7d7,w,1034,3
kwue0,1R4b1/6k1/8/6N1/7p/1P3P1P/PPrr2P1/R4K2 b - - 2 33,d2f2 f1g1 f2g2,b,1034,3
I3w1E,6k1/5pp1/2P4p/1P6/P7/8/1rr2RPP/R5K1 b - - 2 31,c2f2 a4a5 f2g2 g1h1 g2h2,b,1035,5
mCYWX,2k4r/pp1RR3/2p3n1/6pp/4Pp2/1PP2n1P/P4K2/8 w - - 2 30,d7c7 c8b8 c7b7 b8a8 b7a7,w,1036,5
020XG,2rkr3/ppp3RR/4P3/8/b1P1p3/P3P3/4KP2/8 w - - 3 37,g7d7 a4d7 h7d7,w,1037,3
EXS7g,1n4k1/3b1pq1/2pPp1pB/1pP5/1P3PBQ/3R4/rr4PP/5RK1 b - - 22 39,b2g2 g1h1 g2h2 h4h2 a2h2,b,1037,5
pYsUd,r5k1/pR3Rpp/3p4/2p5/8/1PP5/1r4P1/6K1 w - - 0 29,f7g7 g8h8 g7h7,w,1037,3
tueC1,8/R4Rpk/7p/8/8/5PQP/2rr2PK/5q2 b - - 0 35,d2g2 g3g2 c2g2,b,1037,3
8Eina,8/R5R1/5p1k/5r2/p7/4K3/2b5/8 w - - 1 66,g7h7 h6g5 a7g7,w,1038,3
HwBPU,6k1/8/P4bp1/8/2N5/1p6/1P2rr2/1K1R3R b - - 0 35,e2b2 c4b2 f2b2,b,1038,3
Ksv4o,6k1/5ppp/4p3/8/1P1N1P2/P1R1P2P/1r3rP1/4RnK1 b - - 0 35,f2g2 g1f1 b2f2,b,1038,3
UViUK,7k/1p1b1pp1/1Q1p1qnp/3Pp3/4P3/1P3PP1/P1rrB2P/R3R1NK b - - 2 26,d2e2 e1e2 c2e2,b,1038,3
gIkLT,5Q2/1p4pk/p1n4p/P7/8/6PK/1rr2P1P/4R3 b - - 6 41,c2f2 f8e8 f2h2,b,1038,3
NB0En,5r2/2R2Rpk/pq3r1p/1p1B4/2p5/4b1P1/PP4KP/8 w - - 0 35,f7g7 h7h8 g7h7,w,1039,3
mwpjq,8/5kp1/pp2R2p/2p5/2P5/PP6/1r1r1PPP/4R1K1 b - - 0 31,d2f2 e6b6 f2g2,b,1039,3
qD1zC,6k1/1Rq1bp1p/6p1/2p2P2/4Q3/2P3N1/r2r2PP/4R1K1 b - - 1 30,d2g2 e4g2 a2g2,b,1040,3
1xbPL,2r3rk/pQ2R1R1/5n1p/8/3q4/7P/P4PP1/6K1 w - - 1 32,g7h7 f6h7 e7h7,w,1041,3
Juqtr,6R1/8/4pP1k/p4p1p/5P2/6P1/1r2r2P/K1R5 b - - 4 55,b2a2 a1b1 e2b2,b,1041,3
LYFx4,7r/3R1Rpk/4rP1p/2p3q1/pP6/P1P3P1/6P1/6K1 w - - 0 35,f7g7 g5g7 d7g7,w,1041,3
JhFbi,8/RR5p/2pk4/2r2p2/5P2/6P1/4r2P/7K w - - 1 34,b7d7 d6e6 d7e7,w,1042,3
L5lH1,5rk1/R2R2p1/1p2pq2/2p2p1Q/2P4r/8/P4PP1/6K1 w - - 3 34,d7g7 f6g7 a7g7,w,1042,3
r7NzA,k7/P7/3B4/4p2p/4P3/5P1K/1r4rP/R7 b - - 0 49,g2h2 h3g3 b2g2,b,1042,3
zBsyZ,6r1/3RR1pb/5pk1/p4N1p/1p4P1/2r4P/P5K1/8 w - - 0 33,e7g7 g8g7 d7g7,w,1042,3
7JOVJ,3rq1k1/1RRr1ppp/p3p3/1p2p3/7P/1P3Q2/1P3PP1/6K1 w - - 7 26,c7d7 d8d7 b7d7,w,1043,3
8dEQY,8/1R2R1pk/5p2/p1r5/3N4/2P3q1/PP4P1/6K1 w - - 3 41,e7g7 g3g7 b7g7,w,1043,3
CJjiD,8/2R2R2/4p1k1/3pp1Pp/5n2/5K2/1r5P/8 w - - 1 37,f7g7 g6f5 c7f7,w,1043,3
I4FAO,4kb1R/1R6/p5p1/Bp1pPpP1/3p1P2/3P1K2/Prr3B1/8 b - - 0 38,c2f2 f3g3 f2g2 g3h3 g2h2,b,1043,5
dNvd9,2k5/pp4p1/6R1/7p/8/2P3P1/PPr2r1P/1R4K1 b - - 2 26,f2g2 g1h1 g2h2,b,1043,3
1wykh,8/6pk/7p/1R6/8/P5P1/r1r2P1P/4RK2 b - - 0 32,c2f2 f1g1 f2g2 g1h1 g2h2,b,1044,5
3mGzJ,6k1/6pp/5p2/P7/3P4/8/1r2r1PP/R2R2K1 b - - 2 24,e2g2 g1h1 g2h2,b,1044,3
7NTUM,r5k1/3RRrbp/p5q1/1p3p1n/2P5/1P6/P1Q2PPP/2B3K1 w - - 2 25,e7f7 g6f7 d7f7,w,1044,3
BmFG1,8/6k1/p7/3p4/b1pP2N1/P1P5/1Pr2rP1/1K2R2R b - - 0 41,c2b2 b1a1 b2a2,b,1044,3
EFmqu,2krr3/1pp3RR/p7/5p2/8/4n3/P3b1P1/2K5 w - - 0 30,g7c7 c8b8 c7b7 b8a8 b7a7,w,1044,5
GlIKg,5r1k/1p2R1R1/pq3p2/3P1Pp1/8/7P/P7/7K w - - 9 40,g7h7 h8g8 e7g7,w,1044,3
8kZMT,8/RR6/3p1kp1/3r3p/1p1r3P/8/5PP1/6K1 w - - 0 43,b7f7 f6e5 a7e7,w,1045,3
B03tX,8/p4k2/6pp/5p2/3R2PK/2N3P1/P3rr2/7R b - - 0 30,f2h2 h1h2 e2h2,b,1045,3
Kdu5i,6k1/6pp/2b5/2p2N1P/2P2PP1/2R4K/2P1r1r1/2R5 b - - 4 46,g2h2 h3g3 e2g2,b,1046,3
k6wOB,r2r1k2/2RR1ppp/p7/3p4/3n3P/P5P1/1P3PK1/8 w - - 0 33,d7f7 f8g8 f7g7,w,1046,3
CNriQ,8/5pk1/7p/6p1/1P4P1/7P/RPr1rPN1/1R3K2 b - - 6 45,e2f2 f1g1 f2g2 g1h1 g2h2,b,1047,5
Ek4SH,4r1k1/2RRrpbp/1p3q2/p7/7P/1P4Q1/P4PP1/6K1 w - - 11 33,d7e7 f6e7 c7e7,w,1047,3
Hj5k5,1r1r1k2/R1R2pb1/p3p2p/6p1/4P3/P2nKP2/4B1PP/8 w - - 0 33,c7f7 f8g8 f7g7,w,1047,3
NQRVc,1rrk4/R1R1npp1/1P2p2p/1n1pP3/1P3P2/8/6PP/1N5K w - - 7 25,c7d7 d8e8 d7e7 e8f8 e7f7,w,1047,5
re3x4,k3r3/1R4R1/p4pN1/5r2/PP6/3p4/1b1P4/3K4 w - - 1 37,b7a7 a8b8 g7b7,w,1047,3
JVCGD,1q4k1/2RR4/7p/4p3/8/1p3P2/6P1/3K4 w - - 0 62,d7g7 g8h8 g7h7,w,1048,3
UZ41i,2r5/RR1nkppp/4p3/3p4/4n3/2r2N2/4KPPP/8 w - - 3 22,b7d7 e7e8 d7e7 e8f8 e7f7,w,1048,5
YzhmF,8/p2k3p/2p2p2/3p1p2/5P2/P1P5/1P1Nr1rP/1K1R3R b - - 0 26,e2d2 d1d2 g2d2,b,1048,3
hXBPG,8/5pkp/5p2/1R6/4P3/1P3P2/Pr1r2PP/R4K2 b - - 2 28,d2f2 f1g1 f2g2 g1h1 g2h2,b,1048,5
oXMez,5r1k/ppR3R1/6pn/5r2/8/1P4P1/P4PK1/8 w - - 2 34,g7h7 h8g8 c7g7,w,1048,3
xT4EN,3rr1k1/pR3Rpp/3q4/4b3/2p1P3/5Q1P/4N1P1/6K1 w - - 2 30,f7g7 e5g7 f3f7 g8h8 f7g7,w,1048,5
7t6Vl,r2n1k1r/1b1RRp1p/p4b2/5p2/2B5/2N5/PPP2PPP/2K5 w - - 8 20,e7f7 d8f7 d7f7,w,1049,3
9DWO2,1r1r4/2R2Rbk/1p1p4/p2Bp1P1/2P5/1P2q3/P7/7K w - - 0 35,f7g7 h7h8 g7h7,w,1049,3
JjXcR,7k/p1p2p2/8/b2pN3/2PP4/1P2P3/P3KPrr/R2R4 b - - 3 29,g2f2 e2d3 f2d2 d1d2 h2d2,b,1049,5
sKQHC,r5k1/1R1R2pp/5p2/8/8/2r3P1/p4PKP/8 w - - 0 40,d7g7 g8h8 g7h7,w,1049,3
op1CT,1k2r3/1r1R1Rp1/BN6/p6p/5b1P/2n5/PPP3b1/K7 w - - 4 29,d7b7 g2b7 f7b7,w,1050,3
5obiO,1r6/pbR1R3/5kpp/2p4r/8/1P1B2Pn/P1P3KP/8 w - - 0 31,c7b7 b8b7 e7b7,w,1051,3
SsKJd,6k1/pp3p1p/5qp1/P3p3/1P2P3/5PQP/2rr1RP1/R5K1 b - - 2 29,d2f2 g3f2 c2f2,b,1051,3
LzsDX,8/1R3Rp1/4p1kp/3p4/p2P2P1/2q5/6P1/7K w - - 4 47,f7g7 g6f6 b7f7,w,1052,3
tpC5M,8/p5Q1/1pk4p/8/1P3P2/2P5/r2r2PK/8 b - - 0 41,d2g2 g7g2 a2g2,b,1052,3
CS5Ol,6rk/2RR4/1p5r/2p2Bp1/4P3/pbP3K1/8/8 w - - 0 44,d7h7 h6h7 c7h7,w,1053,3
4sAyy,6k1/8/8/1ppP1p2/8/P4NbP/4r1r1/1R4RK b - - 1 37,g2h2 f3h2 e2h2,b,1054,3
6vOhM,2q2rk1/RRb4p/P1p2n2/2Pp4/3Pp1pP/B3PrP1/4QPK1/8 w - - 1 37,b7c7 c8f5 c7g7,w,1054,3
nGuE7,6k1/pp1Q4/7p/3pp1p1/8/1P4BP/P1rq2r1/R3R2K b - - 1 27,g2h2 g3h2 d2h2,b,1054,3
ufb42,5b1k/p2R4/5Npp/1P3p2/7P/6P1/1rr2PK1/3R4 b - - 3 37,c2f2 g2g1 f2g2 g1h1 g2h2,b,1054,5
6tLtX,6k1/1p4pp/1Nnp2n1/4p3/4P1P1/P1NP3P/1PP2rr1/2K3RR b - - 0 22,f2c2 c1b1 c2b2,b,1055,3
JyGjO,r4r2/2RR1p1p/p3pk2/1p2Np2/2n2P2/8/PP3P1P/6K1 w - - 1 26,d7f7 f8f7 c7f7,w,1055,3
xWZMd,3r1r2/pp2RRpk/2b5/6P1/2Bp4/P2P2K1/3q2PP/8 w - - 0 31,f7g7 h7h8 g7h7,w,1055,3
